sku_id,sku_name,sku_alias,sku_type,url,status,target_users,learning_goals,selling_points,delivery,list_price_yuan,deal_price_yuan,currency,discount_policy,policy_notes,tags,notes
bgsx_course_001,办公技能初级班,办公技能初级班;办公技能初级证书;办公技能初级保过班;办公技能初级私教班,course,,active,零基础学员;在职上班族;宝妈;想转行文员/行政的职场人,通过办公技能初级班考试;掌握Word文档处理与Excel表格操作等办公软件基础,直播课+录播回放;题库练习;班主任督学打卡;考不过重学/保过协议,直播课+录播回放+题库+教材讲义,400,100,CNY,,,办公技能初级;证书;直播;保过,
bgsx_course_002,办公技能中级班,办公技能中级班,course,,active,已通过办公技能初级、想进阶拿办公技能中级证书的学员,通过办公技能中级班考试;衔接办公技能高级班知识体系,与办公技能初级知识重合度高;可为办公技能高级班打基础;延期服务500元/期,直播课+录播回放+题库+教材,1000,800,CNY,,,办公技能中级;证书;进阶,
bgsx_course_003,办公技能高级班,办公技能高级班;尖子班,course,,active,已有办公基础、追求高含金量证书与高薪岗位的学员;文员/行政从业者,通过办公技能高级班考试;提升薪资谈判与岗位竞争力,"含金量=办公技能高级班;推荐就业,推荐月薪可达12000+;尖子班不过退费(签协议);活动特价2.5折起",直播全科+录播回放+题库+考前冲刺+协议保障,2600,1900,CNY,,,办公技能高级;证书;高薪;协议,
bgsx_course_004,办公技能实操课,办公技能实操课;办公软件实操;办公技能实操(表格与数据),course,,active,零办公技能实操经验、想做表格/台账/数据汇报的学员,掌握做表格、台账整理、报表汇总等办公技能实操,办公技能实操训练;与办公技能初级证书考试互补;学习后可胜任文员/数据专员岗位,直播+录播办公技能实操课+练习素材,900,500,CNY,,,办公技能实操;Excel;台账;文员,
bgsx_course_005,双证班(办公技能初级班+办公技能高级班),双证班;办公技能初级班+办公技能高级班,package,,active,想一次规划办公技能初级+办公技能高级两条路线的学员,"同时备考办公技能初级班与办公技能高级班;知识点重合度高,一举两得",报办公技能高级班减办公技能初级;双证推荐月薪合计可达18000+;可月付/24期免息,直播课+录播回放+题库+双证教材,3500,1500,CNY,,,双证;套餐;优惠,
bgsx_course_006,技能提升课/办公技能进阶班,技能提升课;进阶班,course,,active,想系统提升办公技能、拓展职业路线的学员,"系统提升办公软件综合应用能力,为办公技能高级班做准备",进阶课程体系;可与其他班型组合;活动价1500起,直播+录播+题库,2000,1500,CNY,,,进阶;技能;提升,
bgsx_course_007,数据整理/数据管理班,数据整理班;数据管理班,course,,active,文员、行政岗位从业者;想转数据相关岗位的学员,掌握台账整理、报表汇总、数据核对等能力,随办公技能高级班/套餐组合赠送;独立班型可选;推荐月薪6000-8000,直播+录播+办公技能实操训练,800,500,CNY,,,数据;报表;文员,
bgsx_course_008,就业保障班,就业推荐服务,service,,active,考过证书、需要就业推荐的学员,获得岗位推荐与职业方向指导,赠送价值4400的就业保障服务;考过全国推荐就业,就业推荐服务(线上),4400,0,CNY,,,就业;服务;赠送,
bgsx_course_009,私教督学服务,私教;1对1私教,service,,active,自学动力不足、需要有人督促的学员,"老师一对一督学答疑,跟进学习进度",老师全程负责;督促打卡学习;随时答疑;按需搭配班级,私教服务(线上答疑+督学),0,0,CNY,,,私教;督学;答疑,
bgsx_course_010,课程延期服务,延期;延期课程,service,,active,因工作/家庭原因无法按期学完的学员,"按需延长课程有效期,避免课程过期损失",办公技能初级延期仅100元;办公技能中级延期仅500元;已学课程可延期可抵扣,线上办理,100,100,CNY,,,延期;服务,
