sku_id,sku_name,sku_alias,sku_type,url,status,target_users,learning_goals,selling_points,delivery,list_price_yuan,deal_price_yuan,currency,discount_policy,policy_notes,tags,notes
office_course_001,Excel 数据整理入门,Excel入门;表格入门;数据清洗基础,course,,active,需要整理台账和名单的零基础职场用户,掌握规范录入、排序筛选、分列、去重和基础清洗,围绕真实办公表格逐步练习;每节对应一个可复用任务,录播微课+练习文件+作业反馈,499,399,CNY,公开演示价;实际价格由人工确认,课程效果取决于练习投入;不承诺固定提效结果,Excel;数据清洗;零基础,价格仅为公开演示数据
office_course_002,Excel 函数与报表专项,函数专项;报表自动汇总,course,,active,经常跨表匹配、分类汇总和制作周月报的职场用户,掌握常用函数、跨表匹配、条件汇总和错误排查,从业务问题反推公式;提供可复用报表模板,直播工作坊+录播回放+练习文件,899,699,CNY,公开演示价;实际价格由人工确认,不承诺适配所有企业数据结构,Excel;函数;报表,价格仅为公开演示数据
office_course_003,Excel 透视表与可视化,透视表;动态图表;数据看板基础,course,,active,需要快速汇总经营数据和制作图表的职场用户,掌握透视表、切片器、常用图表和汇报口径核对,同一份数据完成清洗到汇报;强调口径和可复核性,直播工作坊+案例练习+模板,1099,899,CNY,公开演示价;实际价格由人工确认,不承诺替代专业 BI 系统,Excel;透视表;图表;数据分析,价格仅为公开演示数据
office_course_004,Word 专业文档排版,Word排版;长文档;合同排版,course,,active,经常编写方案、合同、制度和报告的职场用户,掌握样式、编号、目录、页眉页脚和长文档协作,用结构化样式减少反复手工调整;覆盖常见排版故障,录播微课+模板+排版作业,699,499,CNY,公开演示价;实际价格由人工确认,不提供法律文书内容审核,Word;长文档;排版,价格仅为公开演示数据
office_course_005,PPT 结构化汇报,PPT汇报;工作汇报;提案表达,course,,active,需要做周报、复盘、项目汇报和方案提案的职场用户,掌握结论先行、信息层级、图表表达和页面统一,从材料整理到一页一观点;提供汇报检查清单,直播工作坊+案例拆解+模板,899,699,CNY,公开演示价;实际价格由人工确认,不承诺特定汇报或晋升结果,PPT;汇报;表达,价格仅为公开演示数据
office_course_006,办公效率综合训练营,Office训练营;Word Excel PPT综合,package,,active,希望系统提升 Word Excel PPT 综合能力的职场用户,完成文档、数据和汇报三个端到端办公任务,以完整工作任务串联工具;适合需要建立系统方法的用户,6周训练营+直播答疑+练习素材,1999,1599,CNY,公开演示价;实际价格由人工确认,课程范围以人工确认的交付清单为准,Office;综合;训练营,价格仅为公开演示数据
office_course_007,AI 办公协作入门,AI办公;提示词;办公协作,course,,active,希望安全使用生成式 AI 辅助资料整理和初稿生成的职场用户,掌握任务拆解、提示词、结果核验和敏感信息边界,强调人审、事实核验和数据最小化;不替代业务决策,录播微课+场景练习+安全清单,799,599,CNY,公开演示价;实际价格由人工确认,不得上传未授权客户数据或公司机密,AI办公;提示词;安全,价格仅为公开演示数据
office_course_008,企业办公流程工作坊,团队内训;企业工作坊;模板统一,service,,active,需要统一模板、报表口径或协作流程的小型团队,梳理一个部门级办公流程并形成模板与检查清单,先诊断再确定范围;由人工顾问确认人数、周期和交付物,需求访谈+线上工作坊+交付清单,3999,0,CNY,按需求人工报价,涉及企业数据、账号权限和交付范围时必须人工确认,企业内训;流程;团队,不在自动回复中承诺报价或交付
office_service_009,一对一作业反馈,作业批改;一对一答疑,service,,active,需要针对真实练习获得反馈的学员,定位公式、排版或表达中的具体问题,仅针对课程练习和脱敏材料提供反馈,预约制线上反馈,399,299,CNY,公开演示价;实际价格由人工确认,不得提交包含个人信息或公司机密的原始文件,答疑;作业反馈;隐私,价格仅为公开演示数据
office_service_010,学习计划诊断,能力诊断;课程匹配;学习路线,service,,active,尚不确定学习方向或时间安排的用户,根据工作任务、基础和可投入时间形成建议路线,先确认真实任务再推荐;可选择暂不购买,15分钟需求诊断,0,0,CNY,免费公开演示服务,诊断结果是学习建议而非职业或收益承诺,诊断;学习计划;课程匹配,不收集与课程匹配无关的敏感信息
