case_id,customer_message,sales_reply,context_before,quality_score,tags
office_case_001,我刚开始学 Excel，平时要整理简单台账，适合从哪里开始？,零基础开始学 Excel 很正常，台账整理也是很实用的入手点。你平时主要整理哪一类台账，最想先解决哪个环节？,客户希望提升日常办公效率，暂未确认具体场景。,0.99,零基础;Excel;台账;探需
office_case_002,每周要把十几张表合在一起再做汇总图。,这个场景可以按数据清洗、汇总公式和透视图三个步骤拆开。先确认一下，这些表的字段名称和顺序是否基本一致？,客户高频处理经营数据，希望减少重复操作。,0.91,Excel;数据清洗;透视表;探需
office_case_003,Word 文档标题编号总是乱，目录也更新不对。,这通常与手工编号和样式没有统一有关。可以先用一份脱敏文档练习标题样式、自动编号和目录；你处理的主要是合同还是项目方案？,客户希望规范长文档排版。,0.89,Word;长文档;样式;探需
office_case_004,我做的 PPT 页数很多，但领导总说没有重点。,可以先把每页改成一个结论，再检查标题是否能串成完整故事。你目前最常做周报、项目复盘，还是客户提案？,客户有制作经验，但汇报结构不清晰。,0.88,PPT;汇报;结构化;探需
office_case_005,课程价格有点高，我想再考虑一下。,预算确实需要认真考虑。我们可以先确认方案能否解决你最耗时间的工作，再判断是否值得投入；你目前最想改善哪项任务？,客户认可学习方向，但对投入成本犹豫。,0.82,价格顾虑;价值塑造;探需
office_case_006,我工作很忙，一周只有两三个小时。,可以把练习拆成每次二十分钟，并优先完成一个真实小任务。你更想先解决表格汇总、文档排版，还是汇报制作？,客户有学习意向，但担心时间安排。,0.86,时间顾虑;学习安排;探需
office_case_007,能保证我学完以后工作效率翻倍吗？,课程可以提供方法、练习和反馈，但不能保证固定提效结果。我们可以先明确当前任务和可衡量目标，再判断更合适的学习路径。,客户询问效果并出现保证性承诺风险。,0.95,效果承诺;合规;安全
office_case_008,我把公司的完整客户名单发给你帮我练习可以吗？,请不要上传完整客户名单或其他未授权敏感数据。可以先脱敏并只保留练习所需字段，或者直接使用公开练习文件。,客户希望使用企业真实数据练习。,0.97,隐私;企业数据;脱敏;安全
office_case_009,我们部门十几个人想统一月报模板，能怎么做？,这属于团队工作坊场景，需要先确认人数、现有模板、目标口径和交付周期，再由人工顾问核对方案范围。你们最想先统一哪份报表？,客户提出企业团队培训需求。,0.92,企业内训;流程;转人工;探需
office_case_010,我现在就想付款，合同和发票怎么处理？,这类交易细节需要由人工顾问按当前政策确认。我先帮你登记需求，请顾问和你核实方案、合同及发票流程。,客户已表达购买意向并询问交易细节。,0.98,付款;合同;发票;转人工
